Date,BAC,C,GS,JPM,WFC
2022-01-04,0.039194529324998895,0.007765485771680014,0.03073395309538207,0.03790960246434438,0.03981870165301249
2022-01-05,-0.01687859193503194,-0.011637083850851493,-0.021718895415181683,-0.01828198818841842,-0.008720393451209674
2022-01-06,0.020135723002029815,0.032776576331769336,-0.00426455131888126,0.010624031825419156,0.025626301648526972
2022-01-07,0.021815829812082743,0.013403035604707236,0.0014612219072651644,0.009908124679378183,0.021256762869398038
2022-01-10,-0.005083226796144813,0.0038005478715030794,0.004175942423748635,0.0009572730165838816,0.010589772125556562
2022-01-11,0.005722368782571152,0.016356315932184673,0.009720111389207586,0.0010159885606375596,0.012827437778596407
2022-01-12,-0.007112321484990414,0.002533164185032799,-0.031609022778431695,0.00567199777302263,0.0060649252306552714
2022-01-13,-0.0020468308834343807,0.007431510141419961,0.001255444922570348,-0.0012469197806207477,-0.007092167948154926
2022-01-14,-0.017432225380066835,-0.012540503393748126,-0.02523018154435941,-0.06146336627874727,0.036785673540531194
2022-01-18,-0.03443961562841691,-0.024353699089849634,-0.06966982379798214,-0.041927884860640585,-0.023596323490399418
2022-01-19,0.003891030883538704,-0.016232886791436196,-0.019977338752942053,-0.015469285924991083,-0.019756514265713454
2022-01-20,-0.014857834222468336,0.0034246927822518813,0.0022456726768615987,-0.008527332953875089,-0.010257299349553661
2022-01-21,-0.018142107386798112,-0.01846106963885208,-0.012036797585027958,-0.01747259042951277,-0.024181952124599837
2022-01-24,-0.008236843175497444,-0.009009032402876094,-0.0015119901336746455,-0.0008961025189954119,-0.006521178437524866
2022-01-25,0.01975303471249501,0.02248808374868161,-0.00535840294343648,0.010900433838158419,0.005063717984599592
2022-01-26,0.010345658677039404,0.009982824938254753,0.0033084426732246097,0.00948603513850732,0.010263156003871954
2022-01-27,-0.009368106121296571,-0.009266459349452916,-0.004814858824712331,-0.01764466062165182,-0.0070188891600753145
2022-01-28,0.00879695383013579,0.008417829264592003,0.017535047132413828,0.008946407465709516,0.007998466333894783
2022-01-31,0.005886169909032679,0.006647064165320016,0.022103095001967388,0.013573588928601055,-0.007196872608386862
2022-02-01,0.017338512194013944,0.02211296964923326,0.02644636434133929,0.017159995226793567,0.033457324004186884
2022-02-02,-0.0010651934304450883,-0.004957803284359574,-0.002746653322862058,-0.00800529501158731,0.005935179858860495
2022-02-03,-0.009810162753199125,-0.014646025197864732,-0.01151338095900356,-0.008269946598403743,-0.009159490101742773
2022-02-04,0.039844901737330796,0.020540580170580913,0.02429780256542946,0.025958218217403406,0.021025946627746706
2022-02-07,0.004763781291017066,0.004237292979583307,0.001496265003869679,0.0033430600328117066,0.0177525422726037
2022-02-08,0.017934544789730555,0.011452601226095593,0.005296743109192814,0.01881484642393838,0.02476885952550112
2022-02-09,-0.0020251186490439776,0.010727018317533643,0.011969748057331087,0.004168111576301037,0.005276586871032052
2022-02-10,-0.004667272102945819,-0.005011677347703691,-0.010573268596532515,-0.00415081053485955,-0.00016928700565266297
2022-02-11,-0.023037689536569816,-0.005185235273453492,-0.020265987439975097,-0.013016972327171583,-0.012531744203770234
2022-02-14,-0.010434094668983263,-0.010275555016624582,-0.007767526866654939,-0.009290394198137486,-0.007888973167630042
2022-02-15,0.007802758821999767,0.008125219552022944,0.010271095821506426,0.014623722067828693,0.009161701753898521
2022-02-16,-0.0023017612230666895,-0.0007462759193803681,-0.01068866090681142,0.0018098198696929746,-0.004110948919977209
2022-02-17,-0.03376675113648653,-0.03345778574864455,-0.030523582299899488,-0.02303242363803748,-0.03422771457153573
2022-02-18,-0.0023877810277448397,-0.008808529967464951,-0.00865175171612742,0.004688791679044568,-0.009260880874964683
2022-02-22,-0.008703081962868953,-0.0038977616136931514,-0.005114970521574391,-0.0017747227267698173,-0.0062916329887787725
2022-02-23,-0.01712039220255801,-0.01048666488772243,-0.00894645040247699,-0.020939001868380602,-0.02405940957668007
2022-02-24,-0.026351022634049204,-0.040335411596081006,-0.0029309451476452475,-0.027843075188801247,-0.022984207148752267
2022-02-25,0.03256869119652528,0.021592286021165696,0.0291894542633393,0.023659532335660982,0.026560473947457197
